Niveau;code PCS2020;Libellé long de la nomenclature;libellé court – nomenclature d’usage
1;1000;Agriculteurs exploitants;Agriculteurs
2;1000;Exploitants de l’agriculture, sylviculture, pêche et aquaculture;Agriculteurs
3;10A0;Exploitants agricoles;
4;10A1;Exploitants agricoles en grandes cultures;
4;10A2;Maraîchers, horticulteurs et pépiniéristes;
4;10A3;Viticulteurs, arboriculteurs;
4;10A4;Éleveurs de bovins;
4;10A5;Éleveurs de moutons, chèvres, chevaux et autres herbivores;
4;10A6;Éleveurs de volailles et de porcs;
4;10A7;Autres exploitants agricoles;
3;10B0;Entrepreneurs de travaux agricoles, ruraux et forestiers;
4;10B1;Entrepreneurs de travaux agricoles, ruraux et forestiers;
3;10C0;Entrepreneurs de la pêche et de l’aquaculture;
4;10C1;Entrepreneurs de la pêche et de l’aquaculture;
1;2000;Artisans, commerçants et chefs d’entreprise;Artisans, commerçants et chefs d’entreprise
2;2100;Artisans;Artisans
3;21A0;Entrepreneurs en parcs et jardins, paysagistes;
4;21A1;Entrepreneurs en parcs et jardins, paysagistes;
3;21B0;Artisans du bâtiment et des travaux publics;
4;21B1;Artisans maçons;
4;21B2;Artisans charpentiers, couvreurs;
4;21B3;Artisans menuisiers du bâtiment;
4;21B4;Artisans plombiers, chauffagistes;
4;21B5;Artisans électriciens du bâtiment;
4;21B6;Artisans de la peinture et des finitions du bâtiment;
4;21B7;Artisans tout corps de métier du bâtiment et artisans des travaux publics;
3;21C0;Artisans de la réparation et du travail des matériaux;
4;21C1;Garagistes et autres artisans réparateurs;
4;21C2;Artisans du travail des métaux et du bois;
4;21C3;Artisans de la couture et des autres fabrications;
4;21C4;Artisans d’art;
3;21D0;Artisans de l’alimentation;
4;21D1;Artisans bouchers, charcutiers;
4;21D2;Artisans boulangers, pâtissiers;
3;21E0;Artisans des services;
4;21E1;Conducteurs de taxis, d'ambulances et autres entrepreneurs du transport individuel;
4;21E2;Transporteurs indépendants (routiers, fluviaux, maritimes et aériens);
4;21E3;Artisans coiffeurs;
4;21E4;Esthéticiens et autres artisans des soins corporels;
4;21E5;Artisans du nettoyage, de la récupération et des services divers;
2;2200;Commerçants et assimilés;Commerçants et assimilés
3;22A0;Commerçants de produits alimentaires;
4;22A1;Commerçants de produits alimentaires;
3;22B0;Commerçants de produits non alimentaires;
4;22B1;Commerçants de biens pour le foyer;
4;22B2;Commerçants de biens pour la personne;
4;22B3;Buralistes, marchands de presse et autres commerçants d'articles divers;
3;22C0;Exploitants de cafés, restaurants, hôtels;
4;22C1;Exploitants de cafés, de restaurants;
4;22C2;Exploitants d’hôtels et d’autres hébergements;
3;22D0;Intermédiaires et prestataires de services;
4;22D1;Agents généraux et courtiers d’assurance;
4;22D2;Gérants d'agences immobilières;
4;22D3;Agents commerciaux immobiliers;
4;22D4;Intermédiaires du commerce;
4;22D5;Gestionnaires d’autres établissements de service;
4;22D6;Indépendants d’autres prestations de service;
2;2300;Chefs d’entreprise de plus de 10 personnes;Chefs d’entreprise de plus de 10 personnes
3;23A0;Chefs d’entreprise de 50 personnes et plus;
4;23A1;Chefs d’entreprise de 50 personnes et plus;
3;23B0;Chefs d’entreprise de 11 à 49 personnes;
4;23B1;Chefs d’entreprise du BTP, de 11 à 49 personnes;
4;23B2;Chefs d’entreprise de l’agriculture, de l’industrie et des transports, de 11 à 49 personnes;
4;23B3;Chefs d’entreprise du commerce, de 11 à 49 personnes;
4;23B4;Chefs d’entreprise de services, de 11 à 49 personnes;
1;3000;Cadres et professions intellectuelles supérieures;Cadres
2;3100;Professions libérales;Professions libérales
3;31A0;Professions libérales de santé;
4;31A1;Médecins libéraux spécialistes;
4;31A2;Médecins libéraux généralistes;
4;31A3;Chirurgiens-dentistes;
4;31A4;Psychologues, psychanalystes, psychothérapeutes (non médecins);
4;31A5;Vétérinaires;
4;31A6;Pharmaciens libéraux;
3;31B0;Professions libérales juridiques et techniques;
4;31B1;Avocats;
4;31B2;Notaires;
4;31B3;Experts comptables, comptables agréés libéraux;
4;31B4;Experts libéraux des services administratifs et financiers;
4;31B5;Experts libéraux en études techniques;
4;31B6;Architectes libéraux;
4;31B7;Autres professions libérales judiciaires et techniques;
2;3300;Cadres administratifs et techniques de la fonction publique;Cadres de la fonction publique
3;33A0;Cadres de direction de la fonction publique, magistrats;
4;33A1;Cadres de direction de la fonction publique;
4;33A2;Magistrats;
3;33B0;Ingénieurs et cadres techniques de la fonction publique;
4;33B1;Ingénieurs et cadres techniques de la fonction publique;
3;33C0;Cadres administratifs de la fonction publique;
4;33C1;Cadres administratifs de l’État;
4;33C2;Cadres administratifs des collectivités territoriales et des hôpitaux publics;
3;33D0;Officiers des Armées et de la Gendarmerie (sauf grades de colonels, généraux et équivalents);
4;33D1;Officiers des Armées et de la Gendarmerie (sauf grades de colonels, généraux et équivalents);
3;33E0;Responsables politiques et syndicaux;
4;33E1;Responsables politiques et syndicaux;
2;3400;Professeurs et professions scientifiques supérieures;Professeurs et professions scientifiques
3;34A0;Professions de l’enseignement secondaire général et technologique;
4;34A1;Enseignants titulaires du secondaire général et technologique;
4;34A2;Chefs d'établissement de l'enseignement secondaire, inspecteurs;
4;34A3;Psychologues et conseillers de l'orientation scolaire et professionnelle;
3;34B0;Professions de l’enseignement supérieur et de la recherche publique;
4;34B1;Enseignants du supérieur;
4;34B2;Chercheurs de la recherche publique;
3;34C0;Médecins et pharmaciens salariés;
4;34C1;Médecins salariés hospitaliers;
4;34C2;Médecins salariés non hospitaliers;
4;34C3;Internes en médecine, odontologie et pharmacie;
4;34C4;Pharmaciens salariés;
2;3500;Professions de l’information, de l’art et des spectacles;Professions de l’information, de l’art et des spectacles
3;35A0;Cadres de la documentation et du patrimoine;
4;35A1;Documentalistes, bibliothécaires de la fonction publique et autres cadres du patrimoine;
3;35B0;Journalistes, auteurs;
4;35B1;Journalistes et professions assimilées;
4;35B2;Auteurs littéraires, scénaristes, dialoguistes;
3;35C0;Cadres de la presse, de l'édition, de l'audiovisuel et des spectacles;
4;35C1;Cadres de la presse, de l'édition, responsables de la production et de la programmation audiovisuelle et des spectacles;
4;35C2;Cadres artistiques et technico-artistiques des arts graphiques, du design, de la réalisation audiovisuelle et des spectacles;
3;35D0;Artistes;
4;35D1;Artistes plasticiens;
4;35D2;Artistes de la musique et du chant;
4;35D3;Artistes du théâtre, de la danse et des spectacles divers;
4;35D4;Professeurs d'art (hors établissement scolaire) et directeurs d'établissements d'enseignement artistique;
2;3700;Cadres des services administratifs et commerciaux d’entreprise;Cadres administratifs et commerciaux
3;37A0;Cadres dirigeants des entreprises (fonctions administratives, financières et commerciales);
4;37A1;Cadres dirigeants des entreprises (fonctions administratives, financières et commerciales);
3;37B0;Cadres spécialistes des fonctions administratives et financières (hors banque, assurance, organismes de sécurité sociale);
4;37B1;Chargés d’études socio-économiques et experts du traitement des données;
4;37B2;Cadres de l’organisation, du contrôle des services administratifs et financiers;
4;37B3;Cadres spécialistes des ressources humaines et du recrutement;
4;37B4;Cadres spécialistes de la formation et de la documentation;
4;37B5;Juristes;
3;37C0;Cadres généralistes des services administratifs et financiers;
4;37C1;Cadres généralistes des services financiers et comptables;
4;37C2;Cadres généralistes des services administratifs;
3;37D0;Cadres des services commerciaux et de la communication;
4;37D1;Directeurs de magasins et cadres de l’exploitation du commerce de détail;
4;37D2;Acheteurs du commerce;
4;37D3;Cadres commerciaux (hors banque et assurance);
4;37D4;Chefs de produits et autres cadres du marketing;
4;37D5;Cadres de la communication, de la publicité et des relations publiques;
3;37E0;Cadres des services techniques et commerciaux de la banque, de l’assurance, des organismes de sécurité sociale et de l’immobilier;
4;37E1;Directeurs d'agences de la banque et des assurances;
4;37E2;Cadres commerciaux de la banque et des assurances;
4;37E3;Cadres techniques de la banque, des assurances et des organismes de sécurité sociale;
4;37E4;Cadres de l'immobilier;
3;37F0;Cadres de l'hôtellerie et de la restauration;
4;37F1;Cadres de l'hôtellerie et de la restauration;
2;3800;Ingénieurs et cadres techniques d’entreprise;Cadres techniques d’entreprise
3;38A0;Cadres dirigeants techniques des entreprises;
4;38A1;Cadres dirigeants techniques des entreprises;
3;38B0;Ingénieurs et cadres techniques de l’agriculture, de l’aquaculture, des forêts et de la protection de l’environnement;
4;38B1;Ingénieurs et cadres techniques de l’agriculture, de l’aquaculture, des forêts et de la protection de l’environnement;
3;38C0;Ingénieurs et cadres techniques du BTP;
4;38C1;Ingénieurs et cadres d'études du BTP;
4;38C2;Architectes salariés;
4;38C3;Ingénieurs et cadres de chantier du BTP;
3;38D0;Ingénieurs et cadres techniques de l’industrie;
4;38D1;Ingénieurs et cadres d’études, recherche et développement de l’industrie;
4;38D2;Ingénieurs et cadres de production;
3;38E0;Ingénieurs et cadres techniques des transports (hors logistique);
4;38E1;Ingénieurs et cadres techniques de l’exploitation des transports;
4;38E2;Officiers et cadres navigants de l’aviation civile et de la marine marchande;
3;38F0;Ingénieurs et cadres techniques des fonctions connexes de la production;
4;38F1;Acheteurs et cadres des achats du BTP et de l’industrie;
4;38F2;Ingénieurs et cadres de la logistique, de l’ordonnancement-planification et des méthodes de production;
4;38F3;Ingénieurs et cadres du contrôle-qualité et de la prévention des risques;
4;38F4;Ingénieurs et cadres d'installation et de maintenance (hors informatique);
4;38F5;Ingénieurs commerciaux et cadres technico-commerciaux;
3;38G0;Ingénieurs et cadres techniques de l’informatique;
4;38G1;Chefs de projet, responsables informatiques et du conseil informatique;
4;38G2;Ingénieurs et cadres d’études, de recherche et développement informatique et de production des données;
4;38G3;Ingénieurs et cadres d'exploitation informatique (réseaux, systèmes, sécurité et support);
1;4000;Professions intermédiaires;Professions intermédiaires
2;4200;Professions de l’enseignement primaire et professionnel, de la formation continue et du sport;Professions de l’enseignement primaire et professionnel
3;42A0;Enseignants du primaire et du secondaire professionnel, enseignants non titulaires;
4;42A1;Enseignants titulaires du primaire;
4;42A2;Enseignants titulaires du secondaire professionnel;
4;42A3;Enseignants non titulaires du primaire et du secondaire;
4;42A4;Professeurs de soutien scolaire;
3;42B0;Personnels d’éducation et de surveillance des élèves;
4;42B1;Conseillers principaux d'éducation;
4;42B2;Surveillants scolaires et assistants d’éducation;
3;42C0;Professions de la formation, de la documentation et du sport;
4;42C1;Moniteurs d'écoles de conduite;
4;42C2;Formateurs, bibliothécaires et documentalistes (non cadres);
4;42C3;Éducateurs sportifs, sportifs professionnels;
2;4300;Professions intermédiaires de la santé et du travail social;Intermédiaires de la santé et du travail social
3;43A0;Infirmiers, sage-femmes et cadres de santé;
4;43A1;Cadres de santé;
4;43A2;Sages-femmes;
4;43A3;Infirmiers libéraux;
4;43A4;Infirmiers spécialisés salariés;
4;43A5;Infirmiers en soins généraux salariés;
3;43B0;Spécialistes de la rééducation;
4;43B1;Masseurs-kinésithérapeutes rééducateurs;
4;43B2;Spécialistes de la rééducation de la motricité, du langage et de la vue;
3;43C0;Techniciens médicaux, professions de l’appareillage médical et de la pharmacie;
4;43C1;Techniciens médicaux;
4;43C2;Opticiens, prothésistes et autres spécialistes de l'appareillage médical;
4;43C3;Préparateurs en pharmacie;
3;43D0;Travailleurs sociaux et socio-culturels;
4;43D1;Directeurs et cadres du travail social et de l'animation socio-culturelle;
4;43D2;Assistants de service social, conseillers en économie sociale et familiale;
4;43D3;Éducateurs spécialisés;
4;43D4;Moniteurs éducateurs;
4;43D5;Éducateurs techniques spécialisés, moniteurs d’ateliers;
4;43D6;Éducateurs de jeunes enfants;
4;43D7;Animateurs socio-culturels et de loisirs;
2;4400;Ministres du culte et religieux consacrés;Religieux
3;44A0;Ministres du culte et religieux consacrés;
4;44A1;Ministres du culte et religieux consacrés;
2;4500;Professions intermédiaires de la fonction publique (administration, sécurité);Intermédiaires de la fonction publique
3;45A0;Personnels intermédiaires administratifs de la fonction publique;
4;45A1;Personnels intermédiaires administratifs de l'État;
4;45A2;Personnels intermédiaires administratifs des collectivités territoriales et des hôpitaux publics;
